"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"91","            Sobral da Abelheira",333.65,26,56.3,53,38.13,4.9,0.083333333,40.78,74.6,26.96,25.84,600,116.77,0.072953737,11.1,15.45,7.51,83,5.4,0,2.85732636807399
"92","            Vila Franca do Rosario",355.36,28,40.1,42,62.07,5.2,0.117834395,70.54,140.3,31,22.66,706.3,115.19,0.106481481,9.5,6.21,11.58,669,107.7,0,3.08499001649449
"93","            Venda do Pinheiro",462.01,312,34.9,40,31.51,4.9,0.100171527,318.29,696.6,49.55,24.18,594.2,125.73,0.090699285,21,11.69,21.88,2807,240.1,0,3.6746202179273
"94","            Sao Miguel de Alcainca",407.14,56,43.2,44,26.06,4.9,0.067466267,122.65,249.5,44.03,25.48,555,120.6,0.089536138,16.6,7.07,17.42,322,45.5,0,3.3759535655058
"95","            Barcarena",423.25,345,16.9,33,31.58,4.7,0.101915566,711.51,1537.9,53.47,25.95,598.2,105.08,0.092051906,16,9.01,25.78,5494,609.8,0,4.02788351732014
"96","            Carnaxide",450.09,993,11.9,32,29.95,4.6,0.124987561,1800.8,3978.2,48.18,23.34,551.5,104.53,0.117050962,12.4,6.51,34.11,22927,3521.8,0,4.30584521190089
"97","            Oeiras e Sao Juliao da Barra",551.64,1670,18.4,37,36.67,4.6,0.106496345,2720.45,5029.2,49.97,28.21,606.1,103.67,0.107940831,14.2,6.73,37.35,7078,1051.7,1,5.32111507668564
"98","            Paco de Arcos",481.08,954,17.8,36,34.62,4.4,0.15867052,2644.18,4512,51.24,27.97,716,94.06,0.110089432,16.1,3.39,35.6,7288,2149.9,1,5.11460769721454
"99","            Alges",548.92,1034,10.3,26,44.47,4.6,0.093779803,5901.99,11254.7,55.75,22.53,605.8,108.43,0.09326716,14.9,1.98,42.57,11953,6036.9,1,5.06243659503827
"100","            Cruz Quebrada-Dafundo",513.48,362,11.4,29,46.44,4.3,0.119006554,1247.98,2192.5,52.92,25.51,716.7,90.64,0.106145251,15.1,2.92,29.2,756,258.9,1,5.66504854368932
"101","            Linda-a-Velha",527.85,750,10.7,29,39.04,4.6,0.095533209,4439.42,8741.2,50.89,23.94,769.3,101.8,0.101814516,10.4,2.29,32.97,8836,3858.5,0,5.18516699410609
"102","            Porto Salvo",367.8,513,18.7,39,30.73,4.6,0.160205346,901.82,2064.2,39.77,26.61,593.3,97.72,0.141331575,10.7,7.34,19.78,12918,1759.9,0,3.76381498158002
"103","            Queijas",498.24,283,15.2,31,30.71,4.8,0.086410635,2041.23,4512.5,49.83,24.45,595.1,111.43,0.092455043,11.4,2.3,30.03,1469,638.7,0,4.47132729067576
"104","            Caxias",481.84,235,16.2,32,32.69,5.1,0.101016139,1159.5,2640.6,50.11,27.38,574.8,113.31,0.105461812,13.5,3.41,30.75,828,242.8,0,4.2524049068926
"105","            Algueirao-Mem Martins",406.52,2693,26.4,30,33.72,4.6,0.155172414,1928.73,4141.8,36.43,27.11,508.7,97.23,0.140064593,9.6,16,14.6,9418,588.6,0,4.18101409030135
"106","            Almargem do Bispo",319.29,361,26.7,32,37.61,4.8,0.118529412,113.8,225.7,41.81,23.91,637.2,104.19,0.110808356,9.8,39.8,9.95,1871,47,0,3.06449755254823
"107","            Belas",416.25,724,17.1,24,33.58,4.5,0.160238043,489.83,1142.2,50.08,27.7,665.5,104.57,0.121108025,11.2,22.84,18.68,2915,127.6,0,3.98058716649135
"108","            Colares",397.81,416,37.3,41,40.5,5,0.124497992,181.02,228.6,25.89,25.78,657.4,106,0.111081081,8.2,33.37,19.35,911,27.3,1,3.75292452830189
"109","            Montelavar",308.88,200,34.8,37,45.98,4.7,0.113409415,206.4,412.9,20.16,19.51,498.5,90.26,0.134844193,5.2,8.62,8.01,880,102.1,0,3.42211389319743
"110","            Queluz",405.62,1257,14.8,21,49.41,4.2,0.16627165,3771.08,7229.3,55.33,28.37,474.7,80.23,0.167060305,12.5,3.63,11.8,3551,978.2,0,5.05571481989281
"111","            Rio de Mouro",453.76,1932,22.1,25,30.67,4.5,0.163359218,1334.01,2868.4,43.07,28.12,470.5,98.47,0.143228449,10.1,16.49,14.37,8315,504.2,0,4.60810399106327
"112","            Sintra (Santa Maria e Sao Miguel)",416.15,391,28.6,32,42.9,5,0.084727756,403.04,765.4,31.36,24.04,564.6,107.1,0.105136612,6.6,12.23,23.71,3100,253.5,0,3.88562091503268
"113","            Sao Joao das Lampas",375.12,642,40.1,40,33.15,4.9,0.117835122,116.75,198.1,22.65,24.83,594,107.26,0.112343722,8.4,57.5,13.61,1757,30.6,1,3.49729628939027
"114","            Sintra (Sao Martinho)",379.74,240,29,35,42.14,5.1,0.101345669,145.59,255.7,25.15,23.8,698.8,113.9,0.109501348,7.6,24.35,19.24,1647,67.6,0,3.33397717295874
